Date,flow (cfs),ACC_FLOW_7,ACC_FLOW_14,ACC_FLOW_30,ACC_FLOW_40,ACC_FLOW_50,ACC_FLOW_60,ACC_FLOW_70,ACC_FLOW_80,ACC_FLOW_90,ACC_FLOW_180,ACC_FLOW_365
1/1/2000,2250,22590,18835,85000,112590,173070,273120,475320,643520,920720,1855742,2537017
1/2/2000,2150,20880,46020,84500,111970,166090,263270,453770,628870,884970,1857091,2535067
1/3/2000,2070,19150,46070,83990,111410,159410,254320,432120,615920,851820,1858402,2533167
1/4/2000,2010,17520,44560,83510,110840,153340,246090,410490,604790,821290,1859660,2531337
1/5/2000,1970,16260,42790,83070,110220,147970,238300,389400,595100,793000,1860901,2529547
1/6/2000,2090,15390,40900,82680,109530,143480,230720,369370,585770,766970,1862169,2527527
1/7/2000,2190,14920,39080,82500,108860,140120,223360,350860,573360,742960,1863547,2525207
1/8/2000,2290,14730,37320,82450,108220,137700,216100,334050,557350,720750,1865225,2522727
1/9/2000,2420,14770,35650,82540,107660,136070,208940,319140,538540,700340,1866981,2520077
1/10/2000,2540,15040,34190,82740,107250,135090,201910,306160,518160,681860,1868791,2517407
1/11/2000,2750,15510,33030,83000,106980,134570,195050,295100,497300,665500,1870311,2514067
1/12/2000,3140,16250,32510,83450,106980,134450,188570,285750,476250,651350,1871561,2510337
1/13/2000,3690,17420,32810,84340,107460,134880,182880,277790,455590,639390,1872731,2507127
1/14/2000,4210,19020,33940,85820,108600,135930,178430,271180,435580,629880,1874541,2505787
1/15/2000,4640,21040,35770,87820,110360,137510,175260,265590,416690,622390,1876881,2505567
1/16/2000,5020,23390,38160,90210,112640,139490,173440,260680,399330,615730,1879791,2506117
1/17/2000,5380,25990,41030,92870,115390,141750,173010,256250,383750,606250,1883321,2507107
1/18/2000,5740,28830,44340,95580,118530,144300,173780,252180,370130,593430,1887461,2508947
1/19/2000,6070,31820,48070,98220,122070,147190,175600,248470,358670,578070,1892071,2510717
1/20/2000,6290,34750,52170,100710,125920,150430,178270,245090,349340,561340,1897141,2512097
1/21/2000,6350,37350,56370,103220,129930,153910,181500,241980,342030,544230,1902522,2511417
1/22/2000,6470,39490,60530,105710,133980,157510,184980,239100,336280,526780,1907772,2509377
1/23/2000,6420,41320,64710,108270,138200,161320,188740,236740,331650,509450,1912872,2506857
1/24/2000,6430,42720,68710,110740,142410,165190,192520,235020,327770,492170,1917732,2503877
1/25/2000,6470,43770,72600,113210,146630,169170,196320,234070,324400,475500,1922642,2500857
1/26/2000,6570,44500,76320,115800,150850,173280,200130,234080,321320,459970,1927772,2496627
1/27/2000,7060,45000,79750,118670,155060,177580,203940,235200,318440,445940,1933212,2490597
1/28/2000,7960,45770,83120,122460,159450,182400,208170,237650,316050,434000,1939319,2483857
1/29/2000,8610,47380,86870,127580,164310,188160,213280,241690,314560,424760,1946397,2477517
1/30/2000,9060,49520,90840,133630,169340,194550,219060,246900,313720,417970,1954251,2471627
1/31/2000,9840,52160,94880,140310,174620,201330,225310,252900,313380,413430,1962695,2465987
2/1/2000,10600,55570,99340,147900,180600,208870,232400,259870,313990,411170,1971961,2461727
2/2/2000,11000,59700,104200,156350,187290,217220,240340,267760,315760,410670,1981884,2458627
2/3/2000,11200,64130,109130,165280,194340,226010,248790,276120,318620,411370,1992256,2455527
2/4/2000,11100,68270,114040,174470,201580,235000,257540,284690,322440,412770,2002890,2453627
2/5/2000,10800,71410,118790,183600,208800,243850,266280,293130,327080,414320,2013365,2452127
2/6/2000,10500,73600,123120,192310,215900,252290,274810,301170,332430,415670,2023551,2450927
2/7/2000,10400,75040,127200,200620,223130,260120,283070,308840,338320,416720,2033456,2450527
2/8/2000,10400,75600,131170,208730,230690,267420,291270,316390,344800,417670,2043161,2450427
2/9/2000,10100,75400,135100,216710,238530,274240,299450,323960,351800,418620,2052945,2451067
2/10/2000,9930,74500,138630,224270,246250,280560,307270,331250,358840,419320,2062360,2451697
2/11/2000,9650,73230,141500,231450,253930,286630,314900,338430,365900,420020,2071578,2452647
2/12/2000,9410,71780,143190,237960,261430,292370,322300,345420,372840,420840,2080475,2453957
2/13/2000,9570,70390,143990,243680,268770,297830,329500,352280,379610,422110,2089087,2457337
2/14/2000,9550,69460,144500,249040,276330,303440,336860,359400,386550,424300,2097607,2462517
2/15/2000,9550,68610,144210,253950,283910,309110,344160,366590,393440,427390,2105907,2468117
2/16/2000,9650,67760,143160,258480,291370,314960,351350,373870,400230,431490,2114097,2474067
2/17/2000,9640,67310,141810,262750,298830,321340,358330,381280,407050,436530,2122537,2480387
2/18/2000,9590,67020,140250,266650,306180,328140,364870,388720,413840,442250,2131147,2486877
2/19/2000,9490,66960,138740,270170,313350,335170,370880,396090,420600,448440,2139833,2493417
2/20/2000,9470,67040,137430,273370,320300,342280,376590,403300,427280,454870,2148455,2499907
2/21/2000,9510,66940,136400,276490,327020,349500,382200,410470,434000,461470,2157076,2506437
2/22/2000,9500,66900,135510,279530,333390,356860,387800,417730,440850,468270,2165536,2512897
2/23/2000,9290,66850,134610,282610,339200,364290,393350,425020,447800,475130,2173976,2519237
2/24/2000,8930,66490,133800,285470,344280,371570,398680,432100,454640,481790,2182318,2525207
2/25/2000,8670,65780,132800,287930,348570,378530,403730,438780,461210,488060,2190426,2530827
2/26/2000,8590,64860,131820,290030,352220,385110,408700,445090,467610,493970,2198330,2536227
2/27/2000,8760,63960,131000,291560,355430,391510,414020,451010,473960,499730,2206128,2541497
2/28/2000,8720,63250,130190,292360,358450,397980,419940,456670,480520,505640,2213588,2546817
2/29/2000,8470,62460,129360,292470,361100,404280,426100,461810,487020,511530,2221148,2552067
3/1/2000,7950,61430,128280,291880,363280,410210,432190,466500,493210,517190,2228703,2557227
3/2/2000,7300,60090,126580,289990,364880,415410,437890,470590,498860,522390,2235944,2562087
3/3/2000,6640,58460,124240,286690,365710,419570,443040,473980,503910,527030,2242580,2566437
3/4/2000,6170,56430,121290,282330,365930,422520,447610,476670,508340,531120,2246620,2570127
3/5/2000,5600,54010,117970,277300,365670,424480,451770,478880,512300,534840,2248760,2573267
3/6/2000,5170,50850,114100,271800,364800,425440,455400,480600,515650,538080,2249860,2575907
3/7/2000,4630,47300,109760,266170,363400,425590,458480,482070,518460,540980,2249770,2578127
3/8/2000,3680,43460,104890,260300,360970,424840,460920,483430,520420,543370,2247480,2579817
3/9/2000,3420,39190,99280,253580,356690,422780,462310,484270,521000,544850,2243230,2580607
3/10/2000,3410,35310,93770,246600,351500,420130,463310,485130,520840,546050,2237370,2581387
3/11/2000,3200,32080,88510,239910,345850,417250,464180,486160,520470,547180,2230280,2582267
3/12/2000,2920,29110,83120,233180,339210,414100,464630,487110,519810,548080,2222480,2583057
3/13/2000,2750,26430,77280,226450,331530,410550,464410,487880,518820,548750,2213700,2583617
3/14/2000,2780,24010,71310,219790,323280,406880,463470,488560,517620,549290,2203950,2583997
3/15/2000,2800,22160,65620,213000,314860,403230,462040,489330,516440,549860,2180630,2584297
3/16/2000,2930,21280,60470,206250,306560,399560,460200,490160,515360,550410,2141830,2584537
3/17/2000,3920,20790,56100,199630,298690,395920,458110,491000,514590,550980,2092560,2584737
3/18/2000,5700,21300,53380,193900,292110,392780,456650,492730,515240,552230,2040580,2585597
3/19/2000,6370,23800,52910,189960,287410,390520,456610,496140,518100,554830,1989280,2587917
3/20/2000,6190,27250,53680,186740,283380,388280,456910,500090,521910,557620,1938750,2590687
3/21/2000,5860,30690,54700,183440,279470,385410,456810,503740,525720,560030,1889640,2593267
3/22/2000,5710,33770,55930,179830,275400,381430,456320,506850,529330,562030,1841500,2595567
3/23/2000,5750,36680,57960,176030,271460,376540,455560,509420,532890,563830,1795010,2597817
3/24/2000,5710,39500,60290,172280,267800,371290,454890,511480,536570,565630,1751860,2600307
3/25/2000,5810,41290,62590,168700,263940,365800,454170,512980,540270,567380,1711470,2602537
3/26/2000,5800,41400,65200,165580,260200,360510,453510,514150,544110,569310,1674280,2604617
3/27/2000,5850,40830,68080,162710,256450,355510,452740,514930,547820,571410,1639380,2606557
3/28/2000,5910,40490,71180,159970,252650,350860,451530,515400,551480,573990,1606330,2608357
3/29/2000,5900,40540,74310,157120,248920,346370,449480,515570,555100,577060,1572940,2610147
3/30/2000,6000,40730,77410,154300,245230,341870,446770,515400,558580,580400,1538540,2611777
3/31/2000,5980,40980,80480,151830,241740,337770,443710,515110,562040,584020,1504740,2613437
4/1/2000,5960,41250,82540,149860,238250,333820,439850,514740,565270,587750,1472720,2615017
4/2/2000,5970,41400,82800,148520,234700,330130,435210,514230,568090,591560,1443380,2616637
4/3/2000,5920,41570,82400,147850,231170,326690,430180,513780,570370,595460,1416750,2618407
4/4/2000,5710,41640,82130,147600,227800,323040,424900,513270,572080,599370,1392370,2620587
4/5/2000,5170,41440,81980,147710,224580,319200,419510,512510,573150,603110,1370080,2622787
4/6/2000,4180,40710,81440,147710,221080,314820,413880,511110,573300,606190,1349150,2624647
4/7/2000,3580,38890,79870,147260,216670,309350,407560,508230,572100,608180,1328930,2625617
4/8/2000,3080,36490,77740,147160,211490,303290,400740,503850,569940,609470,1309810,2625877
4/9/2000,2740,33610,75010,146820,205850,296780,393420,498320,566950,610130,1291990,2625507
4/10/2000,2490,30380,71950,146150,200120,290030,386060,492000,563400,610330,1275830,2624647
4/11/2000,2370,26950,68590,145440,194660,283050,378620,484650,559540,610070,1261420,2623507
4/12/2000,2480,23610,65050,144890,189730,275910,371340,476420,555440,609300,1248690,2622537
4/13/2000,2600,20920,61630,144620,185570,268890,364410,467900,551500,608090,1237970,2622117
4/14/2000,2690,19340,58230,144440,182000,262200,357440,459300,547670,606480,1228870,2622097
4/15/2000,2740,18450,54940,144330,179090,255960,350580,450890,543890,604530,1220260,2622227
4/16/2000,3170,18110,51720,144140,176660,250030,343770,442830,540060,602250,1208500,2622167
4/17/2000,3610,18540,48920,143390,175200,244610,337290,435500,536170,600040,1193470,2622357
4/18/2000,3990,19660,46610,141300,175130,239460,331260,428710,531820,597910,1175980,2623037
4/19/2000,4480,21280,44890,138920,175700,234730,325660,422300,527200,595830,1157170,2624387
4/20/2000,5130,23280,44200,137210,176770,230740,320650,416680,522620,594020,1138250,2626567
4/21/2000,5530,25810,45150,136480,178700,227920,316310,411880,517910,592800,1119580,2629657
4/22/2000,5580,28650,47100,136300,181310,226150,312330,407760,512840,591860,1101310,2633257
4/23/2000,5590,31490,49600,136130,184140,225090,308410,403930,507420,591020,1083190,2637037
4/24/2000,5540,33910,52450,136010,186950,224510,304710,399950,501810,590180,1065680,2640987
4/25/2000,5460,35840,55500,135740,189690,224450,301320,395940,496250,589250,1049220,2644987
4/26/2000,5410,37310,58590,135400,192220,224740,298110,391850,490910,588140,1034080,2648927
4/27/2000,5480,38240,61520,134960,193710,225520,294930,387610,485820,586490,1020490,2652857
4/28/2000,5750,38590,64400,134530,193490,227320,291650,383450,480900,584010,1008770,2656867
4/29/2000,6000,38810,67460,134380,192870,229650,288680,379610,476250,581150,999120,2661127
4/30/2000,5990,39230,70720,134380,192680,232240,286210,376120,472150,578090,991520,2665657
5/1/2000,5970,39630,73540,134390,192810,235030,284250,372640,468210,574240,985410,2669857
5/2/2000,5770,40060,75900,134400,193070,238080,282920,369100,464530,569610,980280,2673777
5/3/2000,5420,40370,77680,134200,193090,241100,282050,365370,460890,564380,975750,2677177
5/4/2000,4610,40380,78620,133700,192800,243740,281300,361500,456740,558600,971370,2680017
5/5/2000,4160,39510,78100,132600,191600,245550,280310,357180,451800,552110,966430,2682067
5/6/2000,3890,37920,76730,131590,189960,246780,279300,352670,446410,545470,961140,2683797
5/7/2000,3660,35810,75040,131300,188000,246750,278560,347970,440650,538860,955580,2685307
5/8/2000,3530,33480,73110,131380,185750,244710,278540,342870,434670,532120,949790,2686417
5/9/2000,3440,31040,71100,131830,183380,241870,278650,337680,428610,525250,943870,2687227
5/10/2000,2800,28710,69080,132530,180820,239120,278680,332650,422560,518590,937910,2688057
5/11/2000,2160,26090,66470,132840,177640,236060,278280,327500,415890,511460,931480,2688847
5/12/2000,1860,23640,63150,132630,173840,232510,277520,322360,408540,503970,924810,2689427
5/13/2000,1710,21340,59260,132010,169730,228620,276630,317580,400900,496420,918530,2689837
5/14/2000,1600,19160,54970,131120,165520,224620,275560,313120,393320,488560,912860,2689947
5/15/2000,1560,17100,50580,130030,161410,220410,274360,309120,385990,480610,908000,2689707
5/16/2000,1500,15130,46170,128850,157800,216170,272990,305510,378880,472620,904110,2689317
5/17/2000,1300,13190,41900,127180,155120,211820,270570,302380,371790,464470,901000,2688767
5/18/2000,1150,11690,37780,124870,152840,207210,266170,300000,364330,456130,898380,2687957
5/19/2000,1110,10680,34320,122030,150910,202460,260950,297730,356760,447690,896130,2687037
5/20/2000,1090,9930,31270,118660,149280,197570,255870,295430,349400,439310,894180,2686237
5/21/2000,1020,9310,28470,114620,147880,192680,251100,293320,342540,430930,892400,2685617
5/22/2000,1040,8730,25830,110110,146530,187740,246410,291420,336260,422440,890710,2685077
5/23/2000,1060,8210,23340,105570,145090,182810,241700,289710,330660,413980,889110,2684677
5/24/2000,994,7770,20960,101040,143550,177950,237050,287990,325550,405750,887540,2684337
5/25/2000,960,7464,19154,96494,141854,173234,232234,286184,320944,397814,885874,2683781
5/26/2000,1050,7274,17954,91994,140074,169024,227394,284214,316734,390104,884074,2683011
5/27/2000,1050,7214,17144,87634,137954,165894,222594,281344,313154,382564,882294,2682581
5/28/2000,1020,7174,16484,83204,135394,163364,217734,276694,310524,374854,880494,2682321
5/29/2000,1110,7174,15904,78474,132424,161304,212854,271344,308124,367154,878684,2682161
5/30/2000,1300,7244,15454,73584,129054,159674,207964,266264,305824,359794,876984,2682171
5/31/2000,1430,7484,15254,68894,125224,158484,203284,261704,303924,353144,875534,2682461
6/1/2000,1150,7920,15384,64354,121124,157544,198754,257424,302434,347274,874304,2682954
6/2/2000,1100,8110,15384,59734,116694,156214,193934,252824,300834,341784,872904,2683214
6/3/2000,1100,8160,15374,55414,112204,154714,189114,248214,299154,336714,871554,2683453
6/4/2000,1140,8210,15384,51904,107764,153124,184504,243504,297454,332214,870294,2683861
6/5/2000,1070,8330,15504,48884,103444,151524,180474,238844,295664,328184,869164,2684386
6/6/2000,1100,8290,15534,46064,99104,149424,177364,234064,292814,324624,867994,2684784
6/7/2000,1220,8090,15574,43504,94724,146914,174884,229254,288214,322044,866894,2685224
6/8/2000,1560,7880,15800,41194,90194,144144,173024,224574,283064,319844,865894,2685819
6/9/2000,1450,8290,16400,39314,85754,141224,171844,220134,278434,317994,865174,2686773
6/10/2000,1140,8640,16800,37964,81214,137544,170804,215604,274024,316244,864324,2687786
6/11/2000,1050,8680,16890,36944,76384,133154,169574,210784,269454,314464,863214,2688544
6/12/2000,995,8590,16920,36134,71664,128624,168144,205864,264754,312764,862054,2689092
6/13/2000,925,8515,16805,35419,67239,124029,166539,200939,260039,310979,860839,2689458
6/14/2000,884,8340,16430,34744,63554,119414,164774,196154,255154,309104,859514,2689808
6/15/2000,822,8004,15884,34068,60278,114838,162918,191868,250238,307058,858038,2690085
6/16/2000,784,7266,15556,33390,57210,110250,160570,188510,245210,303960,856190,2690077
6/17/2000,782,6600,15240,32874,54334,105554,157744,185714,240084,299044,853874,2689351
6/18/2000,819,6242,14922,32506,51586,100586,154536,183416,234966,293456,851076,2688173
6/19/2000,989,6011,14601,32215,48965,95405,150875,181495,229785,288085,848115,2687182
6/20/2000,1040,6005,14520,32114,47154,90404,146734,179994,224794,283214,845244,2686611
6/21/2000,1100,6120,14460,32134,46034,85474,142244,178664,219874,278544,842374,2685951
6/22/2000,1220,6336,14340,32194,45274,80804,137764,177284,215004,273894,839524,2685351
6/23/2000,1500,6734,14000,32354,44784,76604,133394,175904,210304,269404,836784,2685081
6/24/2000,1770,7450,14050,32860,44684,73494,129354,174714,206094,265094,834404,2685291
6/25/2000,2060,8438,14680,33670,44894,71104,125664,173744,202694,261064,832474,2685891
6/26/2000,2150,9679,15690,34680,45454,69274,122314,172634,200574,257274,831264,2686891
6/27/2000,1870,10840,16845,35780,46304,67764,118984,171174,199144,253514,830574,2688053
6/28/2000,1390,11670,17790,36630,47024,66104,115104,169054,197934,249484,829884,2688944
6/29/2000,1150,11960,18296,36910,47304,64054,110494,165964,196584,244874,828894,2689371
6/30/2000,995,11890,18624,36760,47364,62404,105654,161984,195244,240044,827794,2689578
7/1/2000,1290,11385,18835,36325,47339,61239,100679,157449,193869,235079,826639,2689641
7/2/2000,1610,10905,19343,36465,47589,60669,96199,153159,192679,230399,825859,2690027
7/3/2000,1930,10455,20134,36975,48139,60569,92389,149179,191689,226089,825459,2690659
7/4/2000,1960,10235,21075,37805,49075,60899,89709,145569,190929,222309,825419,2691611
7/5/2000,1720,10325,21995,38625,50075,61299,87509,142069,190149,219099,825289,2692670
7/6/2000,1480,10655,22615,39275,50745,61519,85339,138379,188699,216639,824819,2693551
7/7/2000,1320,10985,22875,39655,51175,61699,83159,134379,186569,214539,824009,2694219
7/8/2000,1240,11310,22695,39755,51475,61869,80949,129949,183899,212779,822909,2694770
7/9/2000,1250,11260,22165,39435,51605,61999,78749,125189,180659,211279,821609,2695308
7/10/2000,1220,10900,21355,39235,51555,62159,77199,120449,176779,210039,820109,2695846
7/11/2000,1080,10190,20425,39315,51345,62359,76259,115699,172469,208889,818189,2696554
7/12/2000,953,9310,19635,39345,51275,62399,75479,111009,167969,207489,815579,2697100
7/13/2000,1060,8543,19198,39303,51128,62292,74722,106542,163332,205842,812322,2697443
7/14/2000,1180,8123,19108,39438,51088,62358,74182,102992,158852,204212,808742,2697483
7/15/2000,1340,7983,19293,39734,51128,62578,73802,100012,154572,202652,804902,2697163
7/16/2000,1650,8083,19343,40252,51398,62868,73642,97462,150502,200822,800862,2696533
7/17/2000,1550,8483,19383,41118,51948,63468,73992,95452,146672,198862,796772,2696303
7/18/2000,1430,8813,19003,41886,52278,63998,74392,93472,142472,196422,792252,2695983
7/19/2000,1820,9163,18473,42497,52148,64318,74712,91462,137902,193372,787392,2695683
7/20/2000,1830,10030,18573,43328,52518,64838,75442,90482,133732,190062,782862,2696013
7/21/2000,1630,10800,18923,44118,53208,65238,76252,90152,129592,186362,778222,2696603
7/22/2000,1440,11250,19233,44648,53788,65718,76842,89922,125452,182412,773432,2697103
7/23/2000,1250,11350,19433,44868,54233,66058,77222,89652,121472,178262,768442,2697543
7/24/2000,1170,10950,19433,44618,54558,66208,77478,89302,118112,173972,763222,2697884
7/25/2000,995,10570,19383,44018,54844,66238,77688,88912,115122,169682,757822,2697954
7/26/2000,1830,10135,19298,42953,55017,66163,77633,88407,112227,165267,751757,2697579
7/27/2000,2930,10145,20175,42633,56063,66893,78413,88937,110397,161617,745627,2697849
7/28/2000,3810,11245,22045,43693,58211,68603,80323,90717,109797,158797,739947,2699259
7/29/2000,4320,13425,24675,46113,61202,70853,83023,93417,110167,156607,734697,2701729
7/30/2000,4440,16305,27655,49283,64533,73723,86043,96647,111687,154937,729177,2704919
7/31/2000,4300,19495,30445,52728,67933,77023,89053,100067,113967,153407,723017,2708406
8/1/2000,4200,22625,33195,55738,71133,80273,92203,103327,116407,151937,716317,2711824
