Date,station,Depth,water_temperature_past,turbidity_past,Chl_past,POC_past,PN_past,CtoN_past,NO3/NO2_past,DIN_past,TDN_past,DON_past,PO4_past,SiO2_past,NH4_past,DO_past,ACC_FLOW_60,ATMP,NW14,SW14,N14,DO_now
2/1/2000,0,1,4.8935,9.357992973,5.666388523,982.05,130.2525,8.806,756.5577761,803.2702701,1210.934491,407.75,14.64410445,23.78080175,46.712494,11.5905,423720,8.2,70.37173401,445.3771495,691.1956884,9.813
2/15/2000,0,1,6.01,9.357992973,5.666388523,916.6,130.55,8.19,740.6141055,763.4586155,1155.559937,392,12.59642,21.707505,22.84451,11.23,423720,12.40416667,66.33541185,222.3997648,202.1248953,9.05
2/29/2000,0,1,13.41,9.357992973,5.666388523,863.6,132.9,7.58,364.3091735,371.9784075,714.588379,343,10.0144545,28.641857,7.669234,9.05,463470,10.925,69.28572084,845.7179783,382.2422373,7.7
3/14/2000,0,1,17.10571429,9.357992973,5.666388523,393.8428571,52.8,8.928857143,675.018916,766.8336899,1166.741385,399.6571429,23.17812756,64.5199453,91.81477396,7.511428571,424900,19.87083333,0,403.4716839,475.7886601,7.784571429
3/28/2000,0,1,19.21571429,9.357992973,5.666388523,466.5428571,66.45,8.576857143,675.0372253,758.5660825,1150.745169,392.0571429,25.11371166,81.0336712,83.52885726,7.181428571,331260,17.2875,224.0976025,886.2766095,0,7.302571429
4/11/2000,0,1,21.32571429,9.357992973,5.666388523,539.2428571,80.1,8.224857143,675.0555346,750.2984751,1134.748954,384.4571429,27.04929576,97.5473971,75.24294056,6.851428571,282920,20.4125,110.6850832,277.6395505,502.5947491,6.820571429
4/25/2000,0,1,23.43571429,9.357992973,5.666388523,611.9428571,93.75,7.872857143,675.0738439,742.0308677,1118.752738,376.8571429,28.98487986,114.061123,66.95702386,6.521428571,272990,19.4625,0,984.357993,0,6.338571429
5/9/2000,0,1,25.54571429,9.357992973,5.666388523,684.6428571,107.4,7.520857143,675.0921532,733.7632603,1102.756522,369.2571429,30.92046396,130.5748489,58.67110716,6.191428571,207964,15.35416667,160.0058328,878.1671999,295.6956783,5.856571429
5/23/2000,0,1,25.714,9.357992973,5.666388523,597.8266667,114.5833333,6.106,706.6733333,757.676,1142.491951,385.2,33.93133333,131.5289589,51.00266667,5.836666667,166539,25.27916667,0,421.0239928,363.1773485,5.708666667
6/6/2000,0,1,27.296,9.357992973,5.666388523,508.7166667,111.5966667,5.364,776.1226667,848.5546667,1120.102034,271.8,52.17333333,123.0008335,72.432,5.701333333,118984,26.975,0,1268.666117,66.1827856,6.189333333
6/20/2000,0,1,29.3072,9.357992973,5.666388523,515.2476,105.3452,5.74784,816.9072,914.25024,1045.799041,131.592,68.5816,120.3808746,97.34304,5.83632,76259,26.9625,0,1027.006086,115.9486036,6.76352
7/4/2000,0,1,28.064,9.357992973,5.666388523,492.842,101.834,5.6728,800.544,889.2608,1040.844052,151.64,63.312,122.7218358,88.7168,6.0144,77688,24.3625,0,172.1011565,0,6.9584
7/18/2000,0,1,26.8208,9.357992973,5.666388523,470.4364,98.3228,5.59776,784.1808,864.27136,1035.889064,171.688,58.0424,125.062797,80.09056,6.19248,118653,28.03333333,0,849.2159882,0,7.15328
8/1/2000,0,1,25.5776,9.357992973,5.666388523,448.0308,94.8116,5.52272,767.8176,839.28192,1030.934076,191.736,52.7728,127.4037583,71.46432,6.37056,192913,23.05416667,225.1834968,358.8291308,154.3182787,7.34816
8/15/2000,0,1,24.3344,9.357992973,5.666388523,425.6252,91.3004,5.44768,751.4544,814.29248,1025.979088,211.784,47.5032,129.7447195,62.83808,6.54864,199488,24.13333333,0,247.9857022,0,7.54304
8/29/2000,0,1,23.0912,9.357992973,5.666388523,403.2196,87.7892,5.37264,735.0912,789.30304,1021.0241,231.832,42.2336,132.0856807,54.21184,6.72672,244835,24.35,0,219.8798699,167.0057266,7.73792
9/12/2000,0,1,21.848,9.357992973,5.666388523,380.814,84.278,5.2976,718.728,764.3136,1016.069111,251.88,36.964,134.4266419,45.5856,6.9048,272060,22.44583333,0,335.5677305,400.2679505,7.9328
9/26/2000,0,1,20.6048,9.357992973,5.666388523,358.4084,80.7668,5.22256,702.3648,739.32416,1011.114123,271.928,31.6944,136.7676032,36.95936,7.08288,238500,20.0375,222.8051246,121.1550635,867.6064213,8.12768
10/10/2000,0,1,19.3616,9.357992973,5.666388523,336.0028,77.2556,5.14752,686.0016,714.33472,1006.159135,291.976,26.4248,139.1085644,28.33312,7.26096,220915,14.92083333,323.1774421,0,559.1573366,8.32256
10/24/2000,0,1,16.715,5.85,2.825,304.425,71.1625,5.065,667.3169044,695.6005196,989.6922305,294.25,24.30617712,138.8895778,28.28361525,7.8475,164567,16.5375,17.29910425,122.4204773,829.7611849,9.1125
11/7/2000,0,1,12.665,5.15,2.275,263.675,62.4875,4.975,646.3107131,683.1215589,961.7134095,278.75,25.33853138,136.1106433,36.81084575,8.8425,132078,12.62083333,539.5734948,136.1097017,572.3531687,10.4975
11/21/2000,0,1,7.646153846,7.869230769,2.7,332.3615385,56.34615385,6.96,523.9219773,558.613267,900.9768348,342.6153846,20.51601931,94.63208123,34.69128969,10.33615385,79758,15.45416667,309.0183169,206.0796877,1314.687662,10.54923077
12/5/2000,0,1,7.42,8.45,3.7,394.975,47.475,9.915,531.22,564.83,906.42157,342,17.735,45.525,33.61,10.595,91412,-1.375,220.5297151,243.6591899,872.6261565,11.485
12/19/2000,0,1,9.307804878,7.087804878,4.37804878,406.2890244,46.17926829,10.6602439,616.8136585,651.7221951,922.5557001,271.2195122,18.64170732,40.90536585,34.90853659,10.12439024,101947,5.1375,797.4861987,92.46898267,549.2157058,12.59536585
1/2/2001,0,1,8.252682927,8.692682927,5.026829268,464.7134146,60.24756098,9.564146341,575.7321951,603.4273171,854.0032932,250.7317073,16.56902439,64.53121951,27.69512195,10.41463415,106900,6.020833333,368.9838483,218.5420359,663.3748425,11.72121951
1/16/2001,0,1,7.197560976,10.29756098,5.675609756,523.1378049,74.31585366,8.46804878,534.6507317,555.132439,785.4508864,230.2439024,14.49634146,88.15707317,20.48170732,10.70487805,99870,9.020833333,209.2377783,176.2997802,440.8315034,10.84707317
1/30/2001,0,1,8.24,12,5.6,678.975,175,5.795,525.42,542.5725,765.444214,223,15.85,85.93243925,17.1525,10.63,97740,12.05416667,108.5181532,481.9290927,0,10.15
2/13/2001,0,1,11.30692308,15.59230769,3.8,835.4307692,227.7538462,4.520769231,514.8469231,541.6084615,870.4135882,328.8461538,18.32076923,70.23514458,26.76153846,10.13,108710,4.67826087,288.0520251,225.030207,151.7797464,9.986923077
