Date,Station,Source,Depth,YSI_Depth,YSI_Temp,YSI_Salinity,YSI_DO,YSI_Turbidity,YSI_Chl,YSI_BP,POC,PN,CtoN,DOC,DIC,NO3/NO2,NH4,DIN,TDN,DON,PO4,SiO2
2000/1/6,0,IMS,2,4,10.93,0.1,9.36,-7777,-7777,-7777,302.8,51.2,6.9,441.8,-7777,779.296051,57.007864,836.303915,1320.963257,485,-9999,96.903763
2000/1/6,0,IMS,1,0.1,11.15,0.1,9.64,-7777,-7777,-7777,222.15,47.55,5.46,439.4,4.87046672,776.5287475,59.663273,836.1920205,1314.189941,478,-9999,93.9206735
2000/1/6,10,IMS,2,3,10.59,0.1,9.5,-7777,-7777,-7777,489.2,71.3,8.01,-7777,-7777,769.291901,66.9642485,836.2561495,-7777,-2222,-9999,98.343296
2000/1/6,10,IMS,1,0.1,10.97,0.1,9.74,-7777,-7777,-7777,313.5,55.75,7.4,-7777,5.074685394,775.3464965,65.562847,840.9093435,-7777,-2222,-9999,95.0939525
2000/1/6,20,IMS,2,2.5,10.54,0.1,9.75,-7777,-7777,-7777,362.95,60.3,7.11,-7777,-7777,778.7160335,75.779327,854.4953605,1342.243408,488,4.6264505,115.384312
2000/1/6,20,IMS,1,0,10.97,0.1,10.21,-7777,-7777,-7777,330.15,62.15,6.2,-7777,5.41504985,780.5050965,71.6308705,852.135967,1346.42749,494,-9999,102.0302275
2000/1/6,30,IMS,2,3.5,10.51,0.2,10.08,-7777,-7777,-7777,953.95,123.4,9.02,576.2,-7777,652.7221985,94.0102345,746.732433,1157.805786,411,8.525051,114.7889
2000/1/6,30,IMS,1,0.1,10.88,0.2,10.36,-7777,-7777,-7777,802.05,108.75,8.61,550.7,8.240074839,651.9962465,90.4124985,742.408745,1148.136108,406,5.8190415,92.2316
2000/1/6,50,IMS,1,0,10.99,0.6,10.59,-7777,-7777,-7777,992.65,123.4,9.4,-7777,6.538252557,602.6349795,56.004721,658.6397005,1044.663086,386,7.0853155,87.9568
2000/1/6,50,IMS,2,4,10.9,0.9,10.19,-7777,-7777,-7777,1160.8,155.4,8.73,-7777,-7777,580.2259825,56.066561,636.2925435,1038.713379,402,6.609964,108.6892
2000/1/6,60,IMS,2,3,10.14,2.8,10.78,-7777,-7777,-7777,1534.2,230.3,7.77,-7777,-7777,402.4359895,14.369346,416.8053355,-7777,-2222,-9999,89.7053
2000/1/6,60,IMS,1,0.1,10.47,2.5,11.01,-7777,-7777,-7777,1846.1,289.75,7.43,-7777,7.253017915,444.049515,14.5729395,458.6224545,-7777,-2222,-9999,98.0491
2000/1/6,70,IMS,2,3,10.08,3.3,10.65,-7777,-7777,-7777,2151.5,294.3,8.53,664.6,-7777,417.376465,12.170908,429.547373,781.505737,352,-9999,75.9822
2000/1/6,70,IMS,1,0.1,10.64,2.5,11.31,-7777,-7777,-7777,2251.05,372.95,7.04,623.5,7.7635646,372.190094,11.835914,384.026008,734.463867,350,-9999,68.8105
2000/1/6,95,IMS,2,2,10.67,6.8,9.05,-7777,-7777,-7777,1750.15,303.45,6.73,-7777,-7777,109.055195,23.9346315,132.9898265,-7777,-2222,-9999,63.2103
2000/1/6,95,IMS,1,0.1,10.36,5.6,10.24,-7777,-7777,-7777,2215.25,414.1,6.24,-7777,-7777,125.7521665,13.0334915,138.785658,-7777,-2222,-9999,67.186
